drug_name,ndc,form,strength,mfg,acq,awp,pf,dispensed,p._update,rxcui,epc_class,drug_class
CALCIPOTRIEN SOL 0.005%,00115-1475-55,SOLN,0.01%,AMNEAL,22.99,339.98,,0:00:00,9/15/2021,340724,expired,Immune Response Mod
VITRAMYN     TAB,59088-0193-54,TABS,,PURE TEK,550,2250,,0:00:00,9/15/2021,379823,Blood Coagulation Factor [EPC],Other
PROBINATE    CAP,59088-0194-54,CAPS,,PURE TEK,550,1850,,0:00:00,9/15/2021,2675198,expired,Other
FOLDITAM     TAB,59088-0185-54,TABS,,PURE TEK,700,2130,,0:00:00,9/15/2021,2569088,Vitamin D [EPC],Pain Relief (Folditam)
MILI         TAB 0.25/35,65862-0776-85,TABS,0.25/35,AUROBINDO,3.88,96.69,,11/15/2024 0:00,10/4/2021,1800499,unknown,Contraceptive
CETIRIZINE   TAB 10MG,16714-0799-02,TABS,10MG,NORTHSTAR,3.27,246.83,,0:00:00,10/4/2021,1014678,Histamine-1 Receptor Antagonist [EPC],Antihistamines
PIMECROLIMUS CRE 1%,68682-0112-03,CREA,1%,OCEANSIDE,169.99,1014.52,,11/23/2024 0:00,10/16/2024,562806,Calcineurin Inhibitor Immunosuppressant [EPC],Non-Ster Anti-Inflam
CLINDAMY/BEN GEL 1.2-5%,70710-1445-04,GEL,1.2-5%,ZYDUS PHAR,22.5,203.44,,0:00:00,10/11/2021,1540241,Lincosamide Antibacterial [EPC],Acne Topical ABX
CLINDAMY/BEN GEL 1.2-5%,70710-1445-04,GEL,1.2-5%,ZYDUS PHAR,22.5,203.44,,0:00:00,10/11/2021,1540241,Lincosamide Antibacterial [EPC],Acne Topical ABX
CLINDAMY/BEN GEL 1.2-5%,70710-1445-04,GEL,1.2-5%,ZYDUS PHAR,22.5,203.44,,0:00:00,10/11/2021,1540241,Lincosamide Antibacterial [EPC],Acne Topical ABX
ITRACONAZOLE SOL 10MG/ML,31722-0006-31,SOLN,10MG/ML,CAMBER PHA,115,370.13,,0:00:00,10/14/2021,348506,Azole Antifungal [EPC],Anti-fungal
MINOCYCLINE  CAP 45MG ER,72143-0221-30,CP24,45MG ER,JG PHARMA,20,630,,0:00:00,9/27/2022,1302650,expired,Antibiotic
DIFLORASONE  OIN 0.05%,70512-0031-60,OINT,0.05%,SOLA PHARM,0,1132.26,,0:00:00,10/19/2021,966607,expired,High Potency Topical Steroid
MINOCYCLINE  CAP 75MG,57664-0852-88,CAPS,75MG,SUN PHARMA,12.99,197.96,,0:00:00,10/19/2021,314108,Tetracycline-class Drug [EPC],ABX Orals
CLINDAMY/BEN GEL 1.2-5%,51672-1366-06,GEL,1.2-5%,TARO ,22.2,203.44,,0:00:00,10/19/2021,1540241,Lincosamide Antibacterial [EPC],Acne Topical ABX
CLINDAMY/BEN GEL 1.2-5%,51672-1366-06,GEL,1.2-5%,TARO ,22.2,203.44,,0:00:00,10/19/2021,1540241,Lincosamide Antibacterial [EPC],Acne Topical ABX
CLINDAMY/BEN GEL 1.2-5%,51672-1366-06,GEL,1.2-5%,TARO ,22.2,203.44,,0:00:00,10/19/2021,1540241,Lincosamide Antibacterial [EPC],Acne Topical ABX
DICLOFENAC   TAB 25MG,74157-0007-60,TABS,25MG,INA PHARMA,469.99,2340,,0:00:00,7/19/2023,857702,Nonsteroidal Anti-inflammatory Drug [EPC],Steroids
ACCUTANE     CAP 20MG,72143-0232-30,CAPS,20MG,JG PHARMA,85,239.74,,0:00:00,10/19/2021,206883,expired,Accutane
CORTI-SAV    CRE 1-1%,72336-0811-30,CREA,1-1%,LIFSA DRUG,400,965,,0:00:00,10/21/2021,310870,expired,Low Potency Topical Steroid
HAPRODERM    GEL,72678-0020-07,GEL,,NATIONAL B,400,965,,0:00:00,10/21/2021,332545,expired,Moisturizer
CLOBETASOL   SOL 0.05%,33342-0321-86,SOLN,0.05%,MACLEODS,3.99,206.31,,11/23/2024 0:00,10/16/2024,861487,Corticosteroid [EPC],Steroids
NAPROXEN SOD TAB 375MG CR,47781-0153-01,TB24,375MG CR,ALVOGEN,200,2152,,0:00:00,1/26/2022,1116320,Nonsteroidal Anti-inflammatory Drug [EPC],Steroids
DESONIDE     OIN 0.05%,52565-0038-60,OINT,0.05%,TELIGENT,3.9,102,,0:00:00,10/21/2021,204135,expired,Low Potency Topical Steroid
CETIRIZINE   TAB 10MG,16714-0799-04,TABS,10MG,NORTHSTAR,13.75,765.42,,0:00:00,10/26/2021,1014678,Histamine-1 Receptor Antagonist [EPC],Antihistamines
ALLERGY 24HR TAB 180MG,69230-0202-60,TABS,180MG,CAMBER CON,6,19.08,,0:00:00,10/27/2021,997420,Histamine-1 Receptor Antagonist [EPC],Bone Resorption Inhibitor
LORATADINE   TAB 10MG,45802-0650-87,TABS,10MG,PADAGIS,10.4,90.2,,0:00:00,10/27/2021,311372,unknown,Antihistamines
FLUOCIN ACET SOL 0.01%,52565-0012-59,SOLN,0.01%,TELIGENT,6,187.5,,3/23/2022 0:00,2/18/2022,1191310,expired,Steroids
APRIZIO PAK  KIT II,59088-0763-00,KIT,II,PURE TEK,0,2025,,0:00:00,11/1/2021,197877,expired,Anti-inflammatory
LIDO/PRILOCN CRE 2.5-2.5%,50383-0667-30,CREA,2.5-2.5%,HI-TECH,4,53.13,,0:00:00,11/1/2021,197877,expired,Pain Relief
LIDO/PRILOCN CRE 2.5-2.5%,50383-0667-30,CREA,2.5-2.5%,HI-TECH,4,53.13,,0:00:00,11/1/2021,197877,expired,Pain Relief
LIDO/PRILOCN CRE 2.5-2.5%,50383-0667-30,CREA,2.5-2.5%,HI-TECH,4,53.13,,0:00:00,11/1/2021,197877,expired,Pain Relief
INFLAMMACIN  MIS 75-0.025,59088-0093-00,THPK,75-0.025,PURE TEK,0,3610,,0:00:00,11/1/2021,898723,unknown,Non-Ster Anti-Inflam
LIDOPURE     KIT 5%,59088-0712-00,KIT,5%,PURE TEK,0,1406.25,,0:00:00,11/1/2021,1745091,unknown,Pain Relief
DERMACINRX   CRE PENETRAL,59088-0310-08,CREA,PENETRAL,PURE TEK,0,1350,,0:00:00,11/1/2021,198555,unknown,Other
DERMACINRX   CRE PENETRAL,59088-0310-08,CREA,PENETRAL,PURE TEK,0,1350,,0:00:00,11/1/2021,198555,unknown,Moisturizer
PRENATRIX    TAB,59088-0166-54,TABS,,PURE TEK,0,2100,,0:00:00,11/1/2021,2672387,Blood Coagulation Factor [EPC],Contraceptive
VITRANOL     TAB,59088-0171-54,TABS,,PURE TEK,0,2250,,0:00:00,11/1/2021,2675198,Blood Coagulation Factor [EPC],Other
DERMACINRX   PAK LEXITRAL,59088-0343-00,THPK,LEXITRAL,PURE TEK,0,4686.16,,0:00:00,11/1/2021,197311,expired,Other
DERMACINRX   PAK PHN,59088-0807-00,THPK,PHN,PURE TEK,0,3485.5,,0:00:00,11/1/2021,197311,unknown,Other
DERMACINRX   KIT PRIZOPAK,59088-0873-00,KIT,PRIZOPAK,PURE TEK,0,2025,,0:00:00,11/1/2021,197877,expired,Other
LIDOCAINE    PAD 5%,59088-0396-54,PTCH,5%,PURE TEK,0,1494.1,,0:00:00,11/4/2021,1745091,Amide Local Anesthetic [EPC],Pain Relief
LIDOCAINE    PAD 5%,59088-0396-54,PTCH,5%,PURE TEK,0,1494.1,,0:00:00,11/4/2021,1745091,Amide Local Anesthetic [EPC],Pain Relief
LIDOCAINE    PAD 5%,59088-0396-54,PTCH,5%,PURE TEK,0,1494.1,,0:00:00,11/4/2021,1745091,Amide Local Anesthetic [EPC],Pain Relief
DICLOFENAC   SOL 1.5%,52565-0002-05,SOLN,1.50%,TELIGENT,12.75,260.7,,0:00:00,11/4/2021,857700,expired,NSAID
CAPSAICIN    CRE 0.025%,50488-1025-01,CREA,0.03%,ALEXSO,114,627,,0:00:00,11/4/2021,198555,unknown,Neuropathic Pain
OXICONAZOLE  CRE NITRATE,51672-1359-02,CREA,NITRATE,TARO ,85.89,614.74,,7/30/2024 0:00,11/4/2021,312139,Azole Antifungal [EPC],Anti-fungal
BETAMETH VAL OIN 0.1%,00713-0327-37,OINT,0.10%,COSETTE PH,20.59,42.66,,0:00:00,11/12/2021,197409,Corticosteroid [EPC],Steroids
BETAMETH VAL CRE 0.1%,00713-0326-37,CREA,0.10%,COSETTE PH,14,45.68,,0:00:00,11/12/2021,197407,Corticosteroid [EPC],Steroids
DESOXIMETAS  CRE 0.25%,51672-1270-03,CREA,0.25%,TARO ,10.57,386.78,,0:00:00,11/12/2021,197574,Corticosteroid [EPC],Steroids
ACYCLOVIR    OIN 5%,13668-0515-02,OINT,5%,TORRENT PH,4.15,797.59,,11/21/2024 0:00,8/29/2024,197312,Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC],Antiviral
FLUOCINONIDE CRE 0.05%,51672-1386-03,CREA,0.05%,TARO ,11.89,182.19,,11/23/2024 0:00,10/15/2024,103456,Corticosteroid [EPC],High Potency Topical Steroid
DOXYCYCL HYC TAB 100MG,42806-0312-50,TABS,100MG,EPIC PHARM,4,307.35,,9/30/2024 0:00,11/6/2023,1650143,Tetracycline-class Drug [EPC],ABX Orals
DOXYCYCL HYC TAB 100MG,62135-0626-05,TABS,100MG,CHARTWELL,38.99,3073.46,,0:00:00,1/5/2022,1650143,Tetracycline-class Drug [EPC],ABX Orals
DOXYCYCL HYC TAB 100MG,00143-2112-05,TABS,100MG,HIKMA,39.75,2766.11,,0:00:00,1/6/2022,1650143,Tetracycline-class Drug [EPC],ABX Orals
LIDOCAINE    OIN 5%,50383-0341-35,OINT,5%,AKORN,3.5,300,,0:00:00,1/12/2022,1543069,expired,Pain Relief
LIDOCAINE    OIN 5%,50383-0341-35,OINT,5%,AKORN,3.5,300,,0:00:00,1/12/2022,1543069,expired,Pain Relief
LIDOCAINE    OIN 5%,50383-0341-35,OINT,5%,AKORN,3.5,300,,0:00:00,1/12/2022,1543069,expired,Pain Relief
LIDOCAINE    OIN 5%,50383-0341-35,OINT,5%,AKORN,3.5,300,,0:00:00,1/12/2022,1543069,expired,Pain Relief
GLYDO        GEL 2%,25021-0673-77,PRSY,2%,,63.17,76.2,,0:00:00,1/12/2022,1549447,Amide Local Anesthetic [EPC],Keratolytic
LIDO/PRILOCN CRE 2.5-2.5%,00115-1468-60,CREA,2.5-2.5%,AMNEAL,19.5,40.2,,0:00:00,1/12/2022,1368867,expired,Pain Relief
LIDO/PRILOCN CRE 2.5-2.5%,00115-1468-60,CREA,2.5-2.5%,AMNEAL,19.5,40.2,,0:00:00,1/12/2022,1368867,expired,Pain Relief
LIDO/PRILOCN CRE 2.5-2.5%,00115-1468-60,CREA,2.5-2.5%,AMNEAL,19.5,40.2,,0:00:00,1/12/2022,1368867,expired,Pain Relief
AMMONIUM LAC LOT 12%,63044-0484-09,LOTN,12%,,7.51,36,,0:00:00,1/12/2022,197362,expired,Moisturizer
AMMONIUM LAC LOT 12%,63044-0484-09,LOTN,12%,,7.51,36,,0:00:00,1/12/2022,197362,expired,Moisturizer
AMMONIUM LAC LOT 12%,63044-0484-09,LOTN,12%,,7.51,36,,0:00:00,1/12/2022,197362,expired,Moisturizer
AMMONIUM LAC LOT 12%,63044-0484-09,LOTN,12%,,7.51,36,,0:00:00,1/12/2022,197362,expired,Moisturizer
AMMONIUM LAC CRE 12%,51672-1301-04,CREA,12%,TARO ,12.5,44.87,,0:00:00,1/12/2022,543460,Acidifying Activity [MoA],Moisturizer
AMMONIUM LAC CRE 12%,51672-1301-04,CREA,12%,TARO ,12.5,44.87,,0:00:00,1/12/2022,543460,Acidifying Activity [MoA],Moisturizer
AMMONIUM LAC CRE 12%,51672-1301-04,CREA,12%,TARO ,12.5,44.87,,0:00:00,1/12/2022,543460,Acidifying Activity [MoA],Moisturizer
SOD SUL/SULF LIQ 9-4.5%,42192-0144-16,LIQD,9-4.5%,ACELLA PH,34.31,185.5,,0:00:00,1/25/2022,1115894,Sulfonamide Antibacterial [EPC],Facewash
CEPHALEXIN   CAP 500MG,65862-0019-01,CAPS,500MG,AUROBINDO,11.99,133,,11/23/2024 0:00,1/25/2022,309114,Cephalosporin Antibacterial [EPC],ABX ORALS
CELECOXIB    CAP 200MG,42806-0722-05,CAPS,200MG,EPIC PHARM,18.95,3790.68,,0:00:00,1/26/2022,205323,Nonsteroidal Anti-inflammatory Drug [EPC],Steroids
LEFLUNOMIDE  TAB 20MG,70748-0130-06,TABS,20MG,LUPIN PHAR,4.03,492.71,,0:00:00,1/26/2022,205285,Antirheumatic Agent [EPC],Immunosuppressant
NAPROXEN     TAB 500MG,50228-0436-05,TABS,500MG,SCIEGEN PH,18.92,570.17,,0:00:00,1/26/2022,198014,Nonsteroidal Anti-inflammatory Drug [EPC],Steroids
NAPROX-ESOM  TAB 500-20MG,55111-0701-60,TBEC,500-20MG,DR.REDDY'S,459.95,2680.78,,0:00:00,1/26/2022,994008,Nonsteroidal Anti-inflammatory Drug [EPC],Steroids
NAPROX-ESOM  TAB 500-20MG,55111-0701-60,TBEC,500-20MG,DR.REDDY'S,459.95,2680.78,,0:00:00,1/26/2022,994008,Nonsteroidal Anti-inflammatory Drug [EPC],Steroids
METHOTREXATE TAB 2.5MG,00378-0014-01,TABS,2.5MG,MYLAN,46.77,623.7,,0:00:00,1/26/2022,105585,Folate Analog Metabolic Inhibitor [EPC],Immunosuppressant
METHOTREXATE TAB 2.5MG,00378-0014-01,TABS,2.5MG,MYLAN,46.77,623.7,,0:00:00,1/26/2022,105585,Folate Analog Metabolic Inhibitor [EPC],Immunosuppressant
METHOTREXATE TAB 2.5MG,00378-0014-01,TABS,2.5MG,MYLAN,46.77,623.7,,0:00:00,1/26/2022,105585,Folate Analog Metabolic Inhibitor [EPC],Immunosuppressant
METHOTREXATE TAB 2.5MG,00378-0014-01,TABS,2.5MG,MYLAN,46.77,623.7,,0:00:00,1/26/2022,105585,Folate Analog Metabolic Inhibitor [EPC],Immunosuppressant
HYDROXYCHLOR TAB 200MG,16571-0687-50,TABS,200MG,RISING,53.5,2180,,0:00:00,1/26/2022,979092,Antimalarial [EPC],Immunosuppressant
HYDROXYCHLOR TAB 200MG,16571-0687-50,TABS,200MG,RISING,53.5,2180,,0:00:00,1/26/2022,979092,Antimalarial [EPC],Immunosuppressant
HYDROXYCHLOR TAB 200MG,16571-0687-50,TABS,200MG,RISING,53.5,2180,,0:00:00,1/26/2022,979092,Antimalarial [EPC],Immunosuppressant
NABUMETONE   TAB 500MG,69367-0241-05,TABS,500MG,WESTMINST,61.5,687.96,,0:00:00,1/26/2022,311892,Nonsteroidal Anti-inflammatory Drug [EPC],Steroids
NAPROXEN     TAB 375MG,49483-0617-50,TABS,375MG,TIME-CAP,15.95,496.75,,0:00:00,1/26/2022,198012,Nonsteroidal Anti-inflammatory Drug [EPC],Steroids
NAPROXEN SOD TAB 275MG,50228-0432-05,TABS,275MG,SCIEGEN PH,9,1145,,0:00:00,1/26/2022,849398,Nonsteroidal Anti-inflammatory Drug [EPC],Steroids
DICLOFENAC   TAB 50MG DR,16571-0202-11,TBEC,50MG DR,PACK PHARM,26.99,1472.33,,0:00:00,1/26/2022,855906,Nonsteroidal Anti-inflammatory Drug [EPC],Steroids
DICLOFENAC   TAB 75MG DR,61442-0103-10,TBEC,75MG DR,CARLSBAD,50.5,1123.02,,0:00:00,1/26/2022,855926,Nonsteroidal Anti-inflammatory Drug [EPC],Steroids
DICLOFENAC   SOL 1.5%,51672-1358-02,SOLN,1.50%,TARO ,17.97,260.7,,0:00:00,1/26/2022,857700,Nonsteroidal Anti-inflammatory Drug [EPC],Steroids
SULINDAC     TAB 150MG,00591-5661-05,TABS,150MG,ACTAVIS PH,37.99,491.01,,0:00:00,1/26/2022,198238,Nonsteroidal Anti-inflammatory Drug [EPC],Steroids
DICLO/MISOPR TAB 50-0.2MG,65162-0436-06,TBEC,50-0.2MG,AMNEAL,37.9,485.38,,0:00:00,1/26/2022,857706,Nonsteroidal Anti-inflammatory Drug [EPC],Steroids
KETOROLAC    TAB 10MG,00378-1134-01,TABS,10MG,MYLAN,39.75,226.5,,0:00:00,1/26/2022,834022,Cyclooxygenase Inhibitor [EPC],NSAID
ALCLOMETASON CRE 0.05%,51672-1306-03,CREA,0.05%,TARO ,16.99,113.07,,6/4/2024 0:00,5/25/2023,855474,Corticosteroid [EPC],Low Potency Topical Steroid
MUPIROCIN    CRE 2%,16714-0055-02,CREA,2%,NORTHSTAR,44.99,415.56,,11/23/2024 0:00,1/28/2022,311877,RNA Synthetase Inhibitor Antibacterial [EPC],Biopsy Topical ABX
FLOWFLEX     KIT HOME TST,82607-0660-26,KIT,HOME TST,ACON LABOR,13.99,9.99,,0:00:00,1/28/2022,1426630,expired,Diagnostic Test
TAVABOROLE   SOL 5%,68180-0958-02,SOLN,5%,LUPIN PHRM,15.38,1541.07,,0:00:00,1/31/2022,1543177,expired,Anti-fungal
SOD SUL/SULF LIQ 10-5%,42192-0136-12,LIQD,10-5%,ACELLA PH,22.15,212.46,,0:00:00,2/1/2022,999613,Sulfonamide Antibacterial [EPC],Facewash
SOD SUL/SULF LIQ 10-5%,42192-0136-12,LIQD,10-5%,ACELLA PH,22.15,212.46,,0:00:00,2/1/2022,999613,Sulfonamide Antibacterial [EPC],Facewash
DOXYCYC MONO CAP 75MG,00713-0554-01,CAPS,75MG,COSETTE PH,199,1691.98,,10/12/2022 0:00,2/4/2022,700408,expired,ABX Orals
DOXYCYC MONO CAP 75MG,00713-0554-01,CAPS,75MG,COSETTE PH,199,1691.98,,10/12/2022 0:00,2/4/2022,700408,expired,ABX Orals
DOXYCYC MONO CAP 75MG,00713-0571-01,CAPS,75MG,COSETTE PH,185,1691.98,,11/14/2023 0:00,9/25/2023,700408,Tetracycline-class Drug [EPC],ABX Orals
DOXYCYC MONO CAP 75MG,00713-0571-01,CAPS,75MG,COSETTE PH,185,1691.98,,11/14/2023 0:00,9/25/2023,700408,Tetracycline-class Drug [EPC],ABX Orals
FLUOCINONIDE CRE 0.1%,51672-1353-04,CREA,0.10%,TARO ,10.37,64.98,,10/30/2024 0:00,2/5/2024,485647,Corticosteroid [EPC],Steroids
FLUOCINONIDE CRE 0.1%,72578-0087-07,CREA,0.10%,VIONA PHAR,13.18,75.81,,0:00:00,2/7/2022,485647,Corticosteroid [EPC],Steroids
FLUOCINONIDE CRE 0.1%,68462-0505-66,CREA,0.10%,GLENMARK,24.68,2335.56,,0:00:00,4/22/2022,485647,Corticosteroid [EPC],Steroids
GENTAMICIN   OIN 0.1%,00713-0682-31,OINT,0.10%,COSETTE PH,6.99,98.75,,11/22/2024 0:00,10/11/2024,310465,Aminoglycoside Antibacterial [EPC],Biopsy Topical ABX
UPNEEQ       SOL 0.1%,73687-0062-32,SOLN,0.10%,RVL PHARMA,100,250,,0:00:00,7/28/2022,2391754,Vasoconstrictor [EPC],Eye Treatment
GENTAMICIN   CRE 0.1%,70512-0036-30,CREA,0.10%,SOLA PHARM,13,124.14,,4/21/2022 0:00,2/11/2022,197735,expired,Biopsy Topical ABX
DOXYCYCLINE  TAB 150MG,51862-0696-06,TABS,150MG,MAYNE PHAR,18.5,1869.02,,5/4/2022 0:00,2/11/2022,1650446,expired,ABX ORALS
DOXYCYCLINE  TAB 75MG,68180-0653-07,TABS,75MG,LUPIN PHRM,14.8,1871.64,,11/16/2024 0:00,11/1/2022,1649425,Tetracycline-class Drug [EPC],ABX ORALS
DESONIDE     LOT 0.05%,00472-0803-04,LOTN,0.05%,ACTAV MID,24.99,438.41,,0:00:00,2/16/2022,197572,Corticosteroid [EPC],Scalp (topical steroids)
BENSAL HP    OIN,63801-0107-01,OINT,,EPI HEALTH,550,1082.5,,8/9/2024 0:00,8/29/2024,1312997,unknown,Antibiotic
CLINDAMYCIN  GEL 1%,68682-0462-75,GEL,1%,OCEANSIDE,725,1066.36,,0:00:00,2/22/2022,309332,expired,Acne Topical ABX
CLINDAMYCIN  GEL 1%,68682-0462-75,GEL,1%,OCEANSIDE,725,1066.36,,0:00:00,2/22/2022,309332,expired,Acne Topical ABX
CLINDAMYCIN  GEL 1%,68682-0462-75,GEL,1%,OCEANSIDE,725,1066.36,,0:00:00,2/22/2022,309332,expired,Acne Topical ABX
CLINDAMYCIN  GEL 1%,68682-0462-75,GEL,1%,OCEANSIDE,725,1066.36,,0:00:00,2/22/2022,309332,expired,Acne Topical ABX
CLINDAMYCIN  GEL 1%,68682-0462-75,GEL,1%,OCEANSIDE,725,1066.36,,0:00:00,2/22/2022,309332,expired,Acne Topical ABX
CLINDAMYCIN  GEL 1%,68682-0462-75,GEL,1%,OCEANSIDE,725,1066.36,,0:00:00,2/22/2022,309332,expired,Acne Topical ABX
TRETINOIN    CRE 0.025%,00378-8082-20,CREA,0.03%,MYLAN,16.35,127.57,,0:00:00,2/23/2022,106302,Retinoid [EPC],Retinoids: Exfoliant
TRETINOIN    CRE 0.1%,51672-1395-00,CREA,0.10%,TARO ,19,131.47,,11/4/2024 0:00,2/23/2022,198300,Retinoid [EPC],Retinoids: Exfoliant
DESONIDE     LOT 0.05%,68462-0513-89,LOTN,0.05%,GLENMARK,26,438.41,,0:00:00,2/23/2022,197572,expired,Scalp (topical steroids)
CETIRIZINE   TAB 10MG,16571-0402-10,TABS,10MG,PACK PHARM,2.48,249.4,,0:00:00,2/28/2022,1014678,Histamine-1 Receptor Antagonist [EPC],Antihistamines
ZELAC        CAP,69067-0070-30,CAPS,,FOXLAND,385,1950,,0:00:00,2/28/2022,2166201,expired,Antifungal Oral
SOD SUL/SULF SUS 8-4%,52187-0531-16,SUSP,8-4%,KMM PHARMA,103.74,493.03,,0:00:00,2/28/2022,1010234,Sulfonamide Antibacterial [EPC],Facewash
SOD SUL/SULF PAD 10-4%,44523-0612-60,PADS,10-4%,BIOCOMPPHA,155,545.15,,0:00:00,3/14/2022,1000946,expired,Facewash
SOD SUL/SULF LIQ 9.8-4.8%,71399-0486-01,LIQD,9.8-4.8%,AKRON PHAR,74.99,511.04,,0:00:00,3/14/2022,1494169,expired,Facewash
FLUCONAZOLE  TAB 200MG,70710-1140-03,TABS,200MG,ZYDUS PHAR,4.22,429.75,,10/30/2024 0:00,8/29/2024,197700,Azole Antifungal [EPC],Anti-fungal (Oral)
TRIAMCINOLON OIN 0.1%,45802-0055-36,OINT,0.10%,PADAGIS,2.28,12.68,,0:00:00,3/23/2022,1085636,Corticosteroid [EPC],Steroids
BETAMETH DIP CRE 0.05%,00168-0055-46,CREA,0.05%,SANDOZ,13.25,105.65,,0:00:00,11/13/2023,238920,Corticosteroid [EPC],High Potency Topical Steroid
DESOXIMETAS  OIN 0.05%,51672-1352-03,OINT,0.05%,TARO ,41,367.18,,10/16/2024 0:00,8/29/2024,141850,Corticosteroid [EPC],Medium Potency Topical Steroid
FLUTICASONE  OIN 0.005%,00713-0632-60,OINT,0.01%,COSETTE PH,7.99,121.33,,0:00:00,3/24/2022,895487,Corticosteroid [EPC],Steroids
MOMETASONE   OIN 0.1%,45802-0119-42,OINT,0.10%,PADAGIS,4.99,44.6,,0:00:00,3/24/2022,151029,Corticosteroid [EPC],Steroids
TRIAMCINOLON OIN 0.1%,45802-0055-05,OINT,0.10%,PADAGIS,12.45,41.34,,4/20/2023 0:00,3/25/2022,1085636,Corticosteroid [EPC],Steroids
BENZOYL PER  LIQ 10% WASH,45802-0318-01,LIQD,10% WASH,PADAGIS,4.39,9.3,,11/22/2024 0:00,8/29/2024,142034,unknown,Facewash
KETOCONAZOLE SHA 2%,63646-0010-04,SHAM,2%,TOLMAR,9.99,23.58,,11/4/2024 0:00,8/30/2024,106336,Azole Antifungal [EPC],Anti-fungal
CLINDAMY/BEN GEL 1-5%,51672-1381-06,GEL,1-5%,TARO ,19.5,472.97,,5/28/2024 0:00,4/11/2022,358917,unknown,Acne Topical ABX
CROTAN       LOT 10%,00682-0051-10,LOTN,10%,MARNEL,771.5,1918.8,,11/22/2024 0:00,8/29/2024,2049603,unknown,Non-Ster Anti-Inflam
AMCINONIDE   CRE 0.1%,00168-0278-60,CREA,0.10%,FOUGERA,225,388.8,,0:00:00,4/15/2022,197327,Corticosteroid [EPC],High Potency Topical Steroid
DESOXIMETAS  CRE 0.25%,45802-0495-37,CREA,0.25%,PADAGIS,25.26,199.24,,0:00:00,4/15/2022,197574,Corticosteroid [EPC],Steroids
FLUOCINONIDE CRE E 0.05%,00093-0263-92,CREA,E 0.05%,TEVA USA,73.01,192.65,,0:00:00,4/15/2022,1801283,Corticosteroid [EPC],Steroids
HYDROCORTISO LOT 0.1%,68180-0951-01,LOTN,0.10%,LUPIN PHRM,49.95,482.5,,0:00:00,4/18/2022,1370763,Corticosteroid [EPC],Steroids
FOLIC ACID   TAB 1MG,51293-0846-10,TABS,1MG,ECI PHARMA,11.86,78,,10/30/2023 0:00,4/19/2022,310410,expired,Supplement (Folic Acid)
FOLIC ACID   TAB 1MG,51293-0846-10,TABS,1MG,ECI PHARMA,11.86,78,,10/30/2023 0:00,4/19/2022,310410,expired,Supplement (Folic Acid)
FOLIC ACID   TAB 1MG,51293-0846-10,TABS,1MG,ECI PHARMA,11.86,78,,10/30/2023 0:00,4/19/2022,310410,expired,Supplement (Folic Acid)
CICLOPIROX   SUS 0.77%,69315-0309-60,SUSP,0.77%,LEADING PH,49.85,108,,0:00:00,4/22/2022,309290,expired,Anti-fungal
CICLOPIROX   GEL 0.77%,00574-2061-01,GEL,0.77%,PADAGIS,19.99,242.4,,0:00:00,4/22/2022,313941,Protein Synthesis Inhibitors [MoA],Anti-fungal
CLOBETASOL   AER 0.05%,45802-0637-33,FOAM,0.05%,PADAGIS,159,640.76,,0:00:00,4/22/2022,1992273,Corticosteroid [EPC],Scalp (topical steroids)
DESOXIMETAS  CRE 0.05%,68180-0949-04,CREA,0.05%,LUPIN PHRM,69.99,611.97,,0:00:00,4/22/2022,197573,Corticosteroid [EPC],Steroids
ADAPALENE    CRE 0.1%,00168-0424-46,CREA,0.10%,FOUGERA,87.95,294.84,,1/9/2024 0:00,4/26/2022,313852,Retinoid [EPC],Retinoids: Exfoliant
BETAMETH VAL LOT 0.1%,00168-0041-60,LOTN,0.10%,SANDOZ,15.75,72,,11/15/2024 0:00,8/29/2024,197408,Corticosteroid [EPC],Steroids
MYORISAN     CAP 10MG,61748-0301-13,CAPS,10MG,AKORN,33.38,540.5,,3/6/2023 0:00,9/15/2022,1242611,expired,Accutane
NYSTAT/TRIAM CRE,00316-0223-60,CREA,,CROWN LAB,3.99,227.3,,0:00:00,4/27/2022,1053753,Corticosteroid [EPC],Steroids
NYSTAT/TRIAM OIN,45802-0244-96,OINT,,PADAGIS,4.39,48.14,,0:00:00,4/27/2022,1053697,Corticosteroid [EPC],Steroids
CLOTRIM/BETA CRE 1-0.05%,16714-0496-02,CREA,1-0.05%,NORTHSTAR,3.16,71.42,,11/18/2024 0:00,4/24/2024,308714,Azole Antifungal [EPC],Anti-fungal
CALCIP/BETAM SUS,51672-1402-04,SUSP,,TARO ,0,1001.95,,0:00:00,4/29/2022,833461,Corticosteroid [EPC],Steroids
CALCIPOTRIEN SOL 0.005%,00713-0318-53,SOLN,0.01%,COSETTE PH,142.09,339.89,,0:00:00,7/22/2024,308865,Vitamin D Analog [EPC],Immune Response Mod
CALCIPOTRIEN SOL 0.005%,00713-0318-53,SOLN,0.01%,COSETTE PH,142.09,339.89,,0:00:00,7/22/2024,308865,Vitamin D Analog [EPC],Immune Response Mod
OXICONAZOLE  CRE NITRATE,51672-1359-03,CREA,NITRATE,TARO ,138.99,623.75,,11/23/2024 0:00,8/29/2024,312139,Azole Antifungal [EPC],Anti-fungal
DIFLORASONE  OIN 0.05%,64980-0124-60,OINT,0.05%,RISING,118,1132.26,,10/11/2023 0:00,3/14/2023,966607,Corticosteroid [EPC],High Potency Topical Steroid
